Rap,Offset,Wild Wild West (feat. Gunna),0SQ8yalm13UIJuebuZkQlH,77,0.0841,0.902,236300,0.621,0,A,0.138,-5.315,Major,0.199,114.007,4/4,0.497
Dance,"Albert Hammond, Jr.",Set to Attack,7sI80PK0P3tDCvULKszqzL,56,0.0453,0.765,208213,0.806,0.0129,C,0.0914,-4.464,Minor,0.0276,116.017,4/4,0.964
Hip-Hop,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN,81,0.108,0.53,194613,0.433,0,F#,0.135,-10.598,Major,0.185,160.14,4/4,0.274
Hip-Hop,Chris Jeday,Ahora Dice,5LVoGJTyG6fLJgoGkY2QAZ,76,0.249,0.704,271080,0.69,0,F#,0.123,-5.451,Major,0.16,144.045,4/4,0.402
Pop,Maroon 5,This Love,6ECp64rv50XVz93WvxXMGF,79,0.0556,0.714,206200,0.859,0,F,0.118,-4.634,Minor,0.0372,95.034,4/4,0.755
Dance,XO Cupid,True Colors (feat. Maya Avedis),4AMY0oGSt7vZwgxDnHCJBr,79,0.0796,0.636,184020,0.63,0,C,0.13,-6.396,Major,0.0346,104.845,4/4,0.454
Pop,Cher,Believe,2goLsvvODILDzeeiT4dAoR,77,0.0082,0.652,239027,0.917,0,F#,0.0509,-6.72,Major,0.0548,132.975,4/4,0.459
Pop,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81,0.619,0.672,174358,0.588,0.241,C#,0.0992,-9.573,Major,0.133,169.033,4/4,0.204
Rock,Panic! At The Disco,This Is Gospel,3yZQk5PC52CCmT4ZaTIKvv,76,0.00155,0.572,187187,0.912,1.2e-06,G,0.102,-4.875,Major,0.0707,156.073,4/4,0.606
Rap,Eminem,Stan,3UmaczJpikHgJFyBTAJVoz,76,0.0369,0.778,404107,0.769,4.03e-06,F#,0.548,-4.331,Minor,0.248,80.044,4/4,0.484
Pop,Julia Michaels,Issues,7vu0JkJh0ldukEYbTVcqd0,77,0.401,0.728,176320,0.415,0,G#,0.0616,-6.852,Major,0.0639,114.145,4/4,0.455
Pop,Sebastian Yatra,No Hay Nadie Más,3IPJg1sdqLj12kFIndaonN,78,0.861,0.695,199733,0.379,0,F#,0.106,-9.096,Major,0.0339,105.108,4/4,0.808
Rap,Pia Mia,Do It Again,72Bz4ciRZPBcVSw0nrZDHi,76,0.0299,0.714,207746,0.559,0,G#,0.088,-6.543,Major,0.0515,95.979,4/4,0.411
Pop,BTS,DNA,5SE57ljOIUJ1ybL9U6CuBH,77,0.022,0.598,223123,0.775,0,C#,0.0677,-4.035,Minor,0.0545,129.819,4/4,0.687
Dance,Madison Beer,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,82,0.185,0.704,207109,0.56,0,C#,0.0948,-6.791,Minor,0.179,75.003,4/4,0.609
Rap,Soulja Boy,Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,77,0.511,0.732,221933,0.724,0,C,0.0491,-2.104,Major,0.101,140.13,4/4,0.808
Pop,Avicii,Waiting For Love,2P4OICZRVAQcYAV2JReRfj,80,0.31,0.579,230613,0.736,0,F#,0.198,-3.863,Minor,0.0527,127.999,4/4,0.613
Hip-Hop,Young Thug,Relationship (feat. Future),25oOaleife6E2MIKmFkPvg,76,0.00252,0.842,215307,0.597,0,D,0.124,-6.336,Major,0.0627,145.992,4/4,0.298
Dance,Prince Royce,Adicto,4Xqpt53kWML7eTObGxQ43i,78,0.318,0.735,209192,0.762,0,D,0.371,-5.547,Minor,0.04,116.027,4/4,0.7
Pop,Axwell /\ Ingrosso,More Than You Know,6h5PAsRni4IRlxWr6uDPTP,83,0.0275,0.646,203000,0.741,0,F,0.312,-4.973,Minor,0.034,123.077,4/4,0.571
Hip-Hop,Playboi Carti,wokeuplikethis*,59J5nzL1KniFHnU120dQzt,76,0.0138,0.785,235535,0.62,0,G#,0.15,-6.668,Major,0.254,78.476,4/4,0.478
Pop,Beyoncé,Halo,4JehYebiI9JE8sR8MisGVb,80,0.272,0.508,261640,0.72,0,B,0.0563,-5.908,Minor,0.0628,79.983,4/4,0.472
Pop,Coldplay,Hymn For The Weekend - Seeb Remix,6s3GEN8wK0OMzzzZbXj0fu,77,0.00868,0.565,212647,0.849,4.68e-06,C,0.12,-3.516,Minor,0.0517,102.034,4/4,0.427
Hip-Hop,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,86,0.847,0.734,95467,0.57,2.14e-05,G,0.112,-7.066,Minor,0.133,129.953,4/4,0.689
Rock,Elvis Presley,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC,78,0.953,0.428,179773,0.244,0.000144,D,0.102,-15.447,Major,0.0269,100.495,3/4,0.39
Pop,Zion & Lennox,Hola,2dYJKHEqAUTCk2U9zntaS1,77,0.069,0.81,220538,0.789,0.00103,C#,0.0638,-5.048,Major,0.04,94.025,4/4,0.856
Rock,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",79hJaqmVdohltPBNN6BULM,77,0.07,0.708,281667,0.567,0.00105,A#,0.152,-15.539,Minor,0.0355,103.606,4/4,0.955
Hip-Hop,Offset,Wild Wild West (feat. Gunna),0SQ8yalm13UIJuebuZkQlH,77,0.0841,0.902,236300,0.621,0,A,0.138,-5.315,Major,0.199,114.007,4/4,0.497
Rap,G-Eazy,West Coast,2O8gSQ9z52tZSLJnuzjkcG,76,0.0729,0.843,139610,0.806,0,F#,0.758,-5.156,Major,0.367,97.858,4/4,0.821
Hip-Hop,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d,79,0.515,0.759,237507,0.245,0.000154,F#,0.102,-6.545,Major,0.138,96.992,4/4,0.209
Pop,Migos,Narcos,0wbnC9AUenxp613TYaJsGK,80,0.0146,0.936,255379,0.588,0,G,0.139,-6.948,Minor,0.136,124.987,4/4,0.238
Dance,Rita Ora,Only Want You,2CTN6UuO2dNEVZXR0DJVk2,78,0.0599,0.654,180760,0.528,7.14e-05,F#,0.0975,-6.224,Minor,0.0412,82.014,4/4,0.376
Pop,Bazzi,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,89,0.346,0.638,180000,0.717,0,D,0.105,-4.722,Major,0.0337,100.027,4/4,0.249
Pop,Clean Bandit,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,87,0.0441,0.737,222653,0.636,6.66e-05,B,0.35,-4.546,Minor,0.0437,105.005,4/4,0.565
Pop,Offset,Wild Wild West (feat. Gunna),0SQ8yalm13UIJuebuZkQlH,77,0.0841,0.902,236300,0.621,0,A,0.138,-5.315,Major,0.199,114.007,4/4,0.497
Pop,Post Malone,92 Explorer,1D2L6MefbXon28PzIk9I3r,79,0.269,0.802,211427,0.743,1.36e-06,G,0.121,-4.82,Minor,0.0474,146.03,4/4,0.877
Pop,Halsey,Gasoline,2IO7yf562c1zLzpanal1DT,76,0.223,0.731,199593,0.58,0,A#,0.129,-7.328,Minor,0.0399,119.997,4/4,0.319
Pop,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,79,0.212,0.877,162053,0.514,0,D,0.154,-5.585,Minor,0.0657,119.998,4/4,0.272
Pop,Lorde,Royals,2dLLR6qlu5UJ5gk0dKz0h3,78,0.106,0.616,190185,0.432,0,G,0.132,-9.546,Major,0.133,84.778,4/4,0.302
Rap,21 Savage,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,77,0.373,0.835,258880,0.413,0.00133,C#,0.101,-9.81,Major,0.396,149.004,4/4,0.111
Rock,The Fray,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,81,0.269,0.64,262533,0.743,0,A#,0.101,-4.08,Major,0.0379,122.035,4/4,0.361
Pop,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,78,0.0021,0.716,247055,0.541,0,C#,0.115,-7.909,Major,0.149,139.978,4/4,0.387
Pop,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,78,0.129,0.853,156195,0.637,0,D#,0.267,-5.924,Minor,0.331,86.048,4/4,0.496
Hip-Hop,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,81,0.367,0.52,345133,0.538,0.00187,C#,0.119,-8.109,Major,0.206,141.894,4/4,0.177
Dance,Lennon Stella,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,81,0.195,0.689,209773,0.679,0.00111,G,0.224,-5.893,Major,0.0517,149.972,4/4,0.475
Hip-Hop,OutKast,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,78,0.142,0.843,270507,0.805,0,E,0.0771,-5.946,Minor,0.269,94.946,4/4,0.615
Pop,Travis Scott,STOP TRYING TO BE GOD,1xYpVRspgaLxdJLOTQkTjg,76,0.221,0.588,338438,0.567,0,E,0.135,-3.738,Minor,0.0628,150.009,4/4,0.113
Pop,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,87,0.46,0.695,179172,0.573,0.0734,E,0.482,-8.597,Minor,0.106,99.939,4/4,0.408
Rap,KYLE,Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,80,0.339,0.689,191680,0.584,0,C#,0.297,-5.768,Minor,0.119,156.572,4/4,0.676
Hip-Hop,J. Cole,G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,78,0.331,0.889,301133,0.393,8.67e-06,E,0.283,-10.821,Minor,0.267,128.065,4/4,0.304
Pop,Pedro Capó,Calma,6aLJnupvPpT9HLv3xaUhe1,77,0.199,0.737,180066,0.634,0,D,0.0803,-5.331,Major,0.0475,126.926,4/4,0.55
Pop,Jack Ü,Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,77,0.041,0.432,250286,0.781,4.21e-06,E,0.0789,-4.038,Minor,0.0567,139.432,4/4,0.197
Rap,Smokepurpp,Nephew (feat. Lil Pump),0ibOcbkp2XG46Do8jcy0bL,76,0.00422,0.792,202963,0.454,0,A,0.285,-6.753,Major,0.458,161.993,4/4,0.674
Rock,Pink Floyd,"Another Brick in the Wall, Pt. 1",7K6xMPtAjTuLPNlJMLf5bS,63,0.937,0.617,192146,0.0457,0.641,C,0.0991,-26.401,Major,0.0344,99.48,4/4,0.0967
Rap,6ix9ine,GUMMO,4HbiCvH1R7mVOJ7KY7JQBD,76,0.0553,0.66,157643,0.775,0,D,0.129,-4.926,Major,0.172,157.036,4/4,0.635
Rap,Juice WRLD,Fast,6MjNilJCVKJq0LfFvo5jWJ,79,0.427,0.613,208518,0.607,0,C#,0.156,-5.93,Minor,0.0476,84.994,4/4,0.304
Rap,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,87,0.00104,0.922,181263,0.581,5.86e-05,A#,0.105,-7.495,Major,0.27,140.022,4/4,0.595
Pop,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,76,0.0265,0.658,227360,0.535,0,A,0.2,-8.983,Minor,0.0573,110.684,4/4,0.419
Dance,Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1,77,0.0215,0.688,192191,0.702,0,G,0.128,-4.792,Minor,0.0499,94.006,4/4,0.74
Pop,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,80,0.615,0.661,201000,0.373,0,F,0.177,-8.249,Major,0.0505,91.5,4/4,0.523
Pop,Bryan Adams,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,80,0.0183,0.508,216053,0.834,0,D,0.0732,-6.205,Major,0.0386,139.131,4/4,0.774
Dance,Clean Bandit,I Miss You (feat. Julia Michaels),0Ult84lvFuqNvbyXwyRQ58,83,0.299,0.693,205987,0.624,7.64e-06,C,0.0955,-7.482,Minor,0.0448,105.002,4/4,0.369
