genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Rock,FRENSHIP,Capsize,2XMTqoHHSH0lvuXrvIEdco,76,0.0398,0.683,237707,0.708,0.155,F,0.686,-6.244,Minor,0.0305,92.991,4/4,0.355
Rock,U2,One,3G69vJMWsX6ZohTykad2AU,76,0.245,0.392,276187,0.534,0.00104,C,0.155,-8.793,Major,0.0369,181.305,4/4,0.325
Rock,America,A Horse with No Name,54eZmuggBFJbV7k248bTTt,77,0.686,0.654,252240,0.506,0.0155,B,0.155,-17.18,Minor,0.0535,123.179,4/4,0.831
Rock,a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,84,0.018,0.573,225280,0.902,0.00125,F#,0.0928,-7.638,Minor,0.054,84.412,4/4,0.876
Blues,WALK THE MOON,Shut Up and Prance,4kbj5MwxO1bq9wjT5g9HaA,80,0.00701,0.578,199080,0.866,0,C#,0.257,-3.804,Major,0.0619,128.038,4/4,0.619
Blues,Carlos Vives,Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,79,0.0826,0.742,194742,0.858,0,A#,0.364,-4.946,Major,0.0483,95.049,4/4,0.64
Blues,Billie Eilish,watch,7eB1V5LvAdxCc7brfGhRRo,82,0.333,0.441,177523,0.599,0.00198,C,0.103,-8.985,Major,0.225,165.212,4/4,0.35
Blues,Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,82,0.0338,0.896,303077,0.515,0,D,0.317,-5.395,Major,0.183,138.016,4/4,0.174
Rock,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,82,0.227,0.692,216933,0.711,0,C,0.12,-7.498,Minor,0.0317,125.135,4/4,0.875
Prance,Destiny's Child,Say My Name,7H6ev70Weq6DdpZyyTmUXk,78,0.273,0.713,271333,0.678,0,F,0.149,-3.525,Minor,0.102,138.009,4/4,0.734
Industrial,Lil Pump,Racks on Racks,0SfG57HqtBNqKN9O27fo1s,80,0.0311,0.822,129778,0.484,6.22e-06,C#,0.31,-7.166,Major,0.0865,150.061,4/4,0.0934
Rock,Counting Crows,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,78,0.211,0.581,272507,0.817,1.42e-06,C,0.246,-6.542,Major,0.0382,141.607,4/4,0.779
Prance,Robin Schulz,Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w,78,0.0185,0.636,219043,0.815,0,F,0.163,-5.098,Minor,0.0581,123.063,4/4,0.636
Rock,Papa Roach,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,78,0.000481,0.589,199907,0.89,0.00082,E,0.201,-3.719,Minor,0.0603,90.598,4/4,0.692
Blues,Grupo Arranke,A Través Del Vaso,0oCSitNlzsQfuIapF9tXRQ,80,0.358,0.612,188662,0.694,1.31e-05,F,0.347,-2.979,Major,0.0297,143.851,3/4,0.92
Industrial,Aminé,REEL IT IN (feat. Gucci Mane) - Remix,4yVEpUXxYgBwfSOKGTFxv5,77,0.0624,0.779,166960,0.355,0,A#,0.159,-8.971,Minor,0.0789,128.805,4/4,0.362
Hip-Hop,Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1,77,0.0215,0.688,192191,0.702,0,G,0.128,-4.792,Minor,0.0499,94.006,4/4,0.74
Industrial,Kendrick Lamar,"Bitch, Don’t Kill My Vibe - Remix",7ALEBJ8LOQqXVJ2tqnXtoH,62,0.0545,0.631,278800,0.791,0,C#,0.226,-5.776,Major,0.227,133.672,4/4,0.123
Prance,Charlie Puth,The Way I Am,6qNALlmZa1ESnCxJmXE1K9,76,0.314,0.755,186080,0.769,2.38e-06,A#,0.0628,-5.658,Minor,0.186,114.966,4/4,0.642
Industrial,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,86,0.0627,0.876,244679,0.786,0,A#,0.127,-4.884,Minor,0.306,153.068,4/4,0.575
Blues,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,78,0.42,0.466,307151,0.548,1.01e-06,F,0.113,-9.362,Minor,0.118,89.815,4/4,0.423
Industrial,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,82,0.00454,0.638,185947,0.523,0,C#,0.0842,-6.664,Major,0.357,139.913,4/4,0.422
Industrial,Kesha,Praying,0jdny0dhgjUwoIp5GkqEaA,76,0.491,0.576,230267,0.39,0,A#,0.111,-7.202,Major,0.0297,73.433,4/4,0.319
Hip-Hop,Meek Mill,On Me (feat. Cardi B),3DnZfpfe8wLeJgzc00gKeW,76,0.0482,0.864,225008,0.666,0,C#,0.134,-5.525,Major,0.234,132.12,4/4,0.538
Blues,Lewis Capaldi,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,91,0.751,0.501,182161,0.405,0,C#,0.105,-5.679,Major,0.0319,109.891,4/4,0.446
Prance,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,84,0.0945,0.601,207905,0.724,1.68e-06,F#,0.12,-4.856,Major,0.0486,102.061,4/4,0.508
Industrial,Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,82,0.0338,0.896,303077,0.515,0,D,0.317,-5.395,Major,0.183,138.016,4/4,0.174
Blues,The Chainsmokers,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,82,0.157,0.532,208373,0.869,0.00508,B,0.136,-5.094,Major,0.172,159.803,4/4,0.422
Hip-Hop,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,87,0.00104,0.922,181263,0.581,5.86e-05,A#,0.105,-7.495,Major,0.27,140.022,4/4,0.595
Blues,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,78,0.129,0.853,156195,0.637,0,D#,0.267,-5.924,Minor,0.331,86.048,4/4,0.496
Blues,George Michael,Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,76,0.128,0.574,300107,0.629,0,D,0.271,-8.815,Minor,0.0363,153.119,4/4,0.786
Blues,The Weeknd,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,81,0.426,0.773,269187,0.819,0,C,0.0679,-5.946,Minor,0.118,92.99,4/4,0.585
Hip-Hop,Gucci Mane,BiPolar (feat. Quavo),4fGT0JiaqoHShrg6uSsKfB,76,0.144,0.747,214642,0.569,0,G#,0.18,-6.679,Major,0.146,157.056,4/4,0.167
Rock,Plain White T's,Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,80,0.872,0.657,232533,0.291,0,D,0.114,-10.572,Major,0.0293,103.973,4/4,0.298
Prance,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,76,0.207,0.683,190428,0.53,0,F,0.394,-4.918,Minor,0.142,75.016,4/4,0.645
Prance,Ariana Grande,7 rings,14msK75pk3pA33pzPVNtBF,100,0.578,0.725,178640,0.321,0,C#,0.0884,-10.744,Minor,0.323,70.142,4/4,0.319
Blues,Hailee Steinfeld,Most Girls,10GJQkjRJcZhGTLagFOC62,79,0.0485,0.76,204400,0.588,0,A,0.0847,-7.082,Major,0.0775,102.974,4/4,0.384
Blues,Offset,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,77,0.228,0.919,205803,0.622,4.24e-06,C#,0.122,-7.384,Major,0.0997,140.022,4/4,0.424
Prance,Jason Derulo,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM",7wD6iRghe6SnKHkvHqpnC5,71,0.0278,0.707,187390,0.845,0,G#,0.134,-3.478,Major,0.201,120.125,4/4,0.507
Hip-Hop,Famous Dex,PICK IT UP (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,79,0.0149,0.921,191252,0.467,0.000238,C#,0.334,-8.443,Major,0.119,135.995,4/4,0.287
